Nombre CAP,MID_CALLE,MID_NRO_DOMI,Comuna_Fmt_google,direccion_comp,LAT,LON
Santiago 0,OHIGGINS,1353,Santiago,1353 OHIGGINS; Santiago; Chile,-33.4069868,-70.6968675
Buin,CONDELL,495,Buin,495 CONDELL; Buin; Chile,-33.7312719,-70.7423647
Colina,SAN MARTIN,105,Colina,105 SAN MARTIN; Colina; Chile,-33.1805616,-70.6482312
Conchali,DORSAL,1908,Conchali,1908 DORSAL; Conchali; Chile,-33.3986412,-70.6704014
Huechuraba,RECOLETA,5640,Huechuraba,5640 RECOLETA; Huechuraba; Chile,-33.3739806,-70.6373406
Curacavi,GERMAN RIESCO,2019,Curacavi,2019 GERMAN RIESCO; Curacavi; Chile,-33.3913577,-71.1295191
El bosque,ALEJANDRO GUZMAN,925,El bosque,925 ALEJANDRO GUZMAN; El bosque; Chile,-33.5564794,-70.6627692
Estacion central,SALVADOR SANFUENTES,2648,Estacion central,2648 SALVADOR SANFUENTES; Estacion central; Chile,-33.451301,-70.6730688
Independencia,DARDIGNAC,485,Independencia,485 DARDIGNAC; Independencia; Chile,-33.432001,-70.6460481
Lampa,BAQUEDANO,853,Lampa,853 BAQUEDANO; Lampa; Chile,-33.2845215,-70.8780978
Las condes,BADAJOZ,45,Las condes,45 BADAJOZ; Las condes; Chile,-33.4090849,-70.5720114
La florida,WALKER MARTINEZ,312,La florida,312 WALKER MARTINEZ; La florida; Chile,-33.5225512,-70.5947955
La granja,COMBARBALA,536,La granja,536 COMBARBALA; La granja; Chile,-33.5295228,-70.6222293
Lo prado,SAN PABLO,5849,Lo prado,5849 SAN PABLO; Lo prado; Chile,-33.4433088,-70.7161871
Maipu,PAJARITOS,629,Maipu,629 PAJARITOS; Maipu; Chile,-33.5211535,-70.7572286
Melipilla,SERRANO,541,Melipilla,541 SERRANO; Melipilla; Chile,-33.686642,-71.213677
Nunoa,JOSE PEDRO ALESSANDRI,211,Nunoa,211 JOSE PEDRO ALESSANDRI; Nunoa; Chile,-33.4567459,-70.5981403
Padre Hurtado,MELIPILLA,3295,Padre Hurtado,3295 MELIPILLA; Padre Hurtado; Chile,-33.5763041,-70.8226831
Penalolen,LAS TORRES,5555,Penalolen,5555 LAS TORRES; Penalolen; Chile,-33.5024016,-70.5776113
Providencia,HOLANDA,254,Providencia,254 HOLANDA; Providencia; Chile,-33.4215066,-70.603136
Puente Alto,SANTO DOMINGO,481,Puente Alto,481 SANTO DOMINGO; Puente Alto; Chile,-33.6077126,-70.577528
Quilicura,GUARDIAMARINA RIQUELME,489,Quilicura,489 GUARDIAMARINA RIQUELME; Quilicura; Chile,-33.4385709,-70.660975
Santiago 1,SAN PABLO,2471,Santiago,2471 SAN PABLO; Santiago; Chile,-33.4349367,-70.6717254
Santiago 2,TEATINOS,601,Santiago,601 TEATINOS; Santiago; Chile,-33.4365675,-70.6555826
San bernardo,VICTORIA,376,San bernardo,376 VICTORIA; San bernardo; Chile,-33.5917221,-70.7023036
San miguel,AVENIDA JOSE MIGUEL CARRERA,4610,San miguel,4610 AVENIDA JOSE MIGUEL CARRERA; San miguel; Chile,-33.4960598,-70.6526016
Talagante,BALMACEDA,710,Talagante,710 BALMACEDA; Talagante; Chile,-33.6615492,-70.9255208
